name;unvan;ana_bilim_dali;uzmanlik_alani;toplam_makale;sci_ssci;kitap_sayisi
ARZUCAN ÖZGÜR TÜRKMEN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Biyoenformatik ; Yapay Zeka | Biyoenformatik | Yapay Zeka 1449645C77127DCD | Mühendislik Temel Alanı";51;13;0
FATİH ALAGÖZ;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları ; Bilgi Güvenliği ve Kriptoloji ; Görüntü İşleme | Bilgisayar ve İletişim Ağları | Bilgi Güvenliği ve Kriptoloji | Görüntü İşleme 8E884515BDB79D23 | Mühendislik Temel Alanı";61;12;14
AHMET CELAL CEM SAY;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Algoritmalar ve Hesaplama Kuramı ; Kuantum Bilgisayarları ; Yapay Zeka | Algoritmalar ve Hesaplama Kuramı | Kuantum Bilgisayarları | Yapay Zeka | Mühendislik Temel Alanı";30;1;5
LALE AKARUN ERSOY;Profesör;BİLGİSAYAR BİLİMLERİ;Bilgisayar Bilimleri ve Mühendisliği | Görüntü İşleme | Mühendislik Temel Alanı;44;14;10
CAN ÖZTURAN;Profesör;BİLGİSAYAR BİLİMLERİ;Bilgisayar Bilimleri ve Mühendisliği | Paralel ve Dağıtık Sistemler | Paralel ve Dağıtık Sistemler 4F4EDFDA5B3C80A4 | Mühendislik Temel Alanı;26;1;2
SADIK FİKRET GÜRGEN;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | İnsan-Bilgisayar Etkileşimi ; Yapay Zeka ; Ses ve Konuşma İşleme | İnsan-Bilgisayar Etkileşimi | Yapay Zeka | Ses ve Konuşma İşleme | Mühendislik Temel Alanı";21;2;0
CEM ERSOY;Profesör;BİLGİSAYAR DONANIMI;Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları | Mühendislik Temel Alanı;66;6;1
ARDA YURDAKUL;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Gömülü Sistemler ; Bilgisayar Sistem Yapısı ve Donanımı | Gömülü Sistemler | Bilgisayar Sistem Yapısı ve Donanımı 70E0FD8619DD4B74 | Mühendislik Temel Alanı";19;0;0
MEHMET ALPER ŞEN;Profesör;BİLGİSAYAR DONANIMI;Bilgisayar Bilimleri ve Mühendisliği | Gömülü Sistemler | Gömülü Sistemler 67671337C06659B0 | Mühendislik Temel Alanı;23;5;3
İSMAİL KADAYIF;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Paralel ve Dağıtık Sistemler ; Bilgisayar Sistem Yapısı ve Donanımı ; Gömülü Sistemler | Paralel ve Dağıtık Sistemler | Bilgisayar Sistem Yapısı ve Donanımı | Gömülü Sistemler | Mühendislik Temel Alanı";23;13;4
BAHADIR KARASULU;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgi Sistemleri | Yapay Zeka | Bilgi Sistemleri | Mühendislik Temel Alanı";38;0;2
SAFİYE AYŞE GÖKER MYRHAUG;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgi Sistemleri ; Makine Öğrenmesi | Yapay Zeka | Bilgi Sistemleri | Makine Öğrenmesi | Mühendislik Temel Alanı";11;7;2
MEHMET KAYA;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ KURAMSAL TEMELLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Veri Madenciliği ; Yapay Zeka ; Makine Öğrenmesi | Veri Madenciliği | Yapay Zeka | Makine Öğrenmesi | Mühendislik Temel Alanı";66;6;8
İLHAN AYDIN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Görüntü İşleme | Yapay Zeka | Makine Öğrenmesi | Görüntü İşleme | Mühendislik Temel Alanı";71;0;0
GALİP AYDIN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ KURAMSAL TEMELLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Paralel ve Dağıtık Sistemler ; Bulut Bilişim | Yapay Zeka | Paralel ve Dağıtık Sistemler | Bulut Bilişim | Mühendislik Temel Alanı";24;2;5
TANER TUNCER;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Sistemleri ; Görüntü İşleme | Bilgi Sistemleri | Görüntü İşleme | Mühendislik Temel Alanı";41;2;0
AHMET BEDRİ ÖZER;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgi Güvenliği ve Kriptoloji ; Büyük Veri | Yapay Zeka | Bilgi Güvenliği ve Kriptoloji | Büyük Veri | Mühendislik Temel Alanı";42;9;1
ERHAN AKIN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ KURAMSAL TEMELLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Görüntü İşleme ; Bulanık Mantık | Yapay Zeka | Görüntü İşleme | Bulanık Mantık | Mühendislik Temel Alanı";140;8;4
MEHMET KARAKÖSE;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Kuantum Hesaplama ; Görüntü İşleme | Yapay Zeka | Kuantum Hesaplama | Görüntü İşleme | Mühendislik Temel Alanı";122;1;3
